Site Identifier,Location,Elevation (m),Nest Height (m),Substrate Relation,Substrate,Entrance Orientation,Cavity Entrance Diameter,Primary Habitat,Secondary Habitat,Human-Modified Habitat
# NestWatch Raw Attempt Sites
# Please be aware that some sample sizes may be very small. This is typical of species that are less commonly reported, and particularly for open cup nesting birds. Any analyses conducted using sample sizes of less than 50 nest attempts for a single species during a single year should be interpreted very cautiously. Note: a nest attempt is any attempt where at least one egg or young were reported in the nest summary. Also note that these data are retrieved from nest summaries only and do not include any information from individual nest checks.
# Substrate Codes: {nesbox=nest box / birdhouse, buildi=building or dwelling, poptow=post / pole or platform, ssdtcv=cavity in snag / dead tree, ltrcav=cavity in live tree, ltrbra=live tree branch, ssdtre=dead tree branch, busshr=bush or shrub, cliled=cliff or rock, ground=ground, floveg=floating vegetation, other=other}
# Habitat Codes: {NW-human=human modified landscape, NW-ag=agricultural area, NW-for=woodland/forest, NW-grass=natural grassland and prairie, NW-chap=shrubland and chapparal, NW-des=desert, NW-fw=fresh water, NW-sw=salt water, NW-beach=beach, NW-tun=tundra, NW-oth=other (please describe in notes), NW-ry=yard, residential area, NW-park=public park/green space, NW-road=roadside, NW-golf=golf course, NW-pit=land fill/gravel pit/strip mine, NW-cem=cemetery, NW-com-ind=industrial/commercial center, NW-pwrln=powerline corridor, NW-campus=campus/schoolyard/church/hospital, NW-airprt=airport, NW-cmpgrd=campground, NW-xmas=Christmas tree farm, NW-orch-vin=orchard/vineyard, NW-clrcut=recently clear cut area, NW-burn=recently burned area}
L386163,US-NC,117.00000,1.52400,in,nesbox,ne,3.81000,NW-grass,NW-grass,NW-burn
L56716,US-NC,152.40000,1.82880,in,nesbox,e,3.17500,NW-ry,,
L428797,US-NC,119.80000,1.82880,in,nesbox,n,3.81000,NW-human,NW-grass,NW-park
L727617,US-NC,137.20000,1.64590,in,nesbox,e,3.81000,NW-human,NW-human,NW-ry
L874467,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L874660,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1035610,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1036697,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1037083,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1037095,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1037258,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1037275,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1037651,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1038127,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1039032,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1039035,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1040932,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1042250,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1113180,US-NC,,,in,nesbox,,,,,
L1131654,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1425545,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-grass,
L1425558,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-human,NW-park
L1425571,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-human,NW-road
L3563631,US-NC,167.64000,1.52400,in,nesbox,e,3.81000,NW-ry,NW-ry,
L3602093,US-NC,,6.09600,in,nesbox,e,3.81000,NW-oth,NW-ry,
L3548989,US-NC,93.87840,1.67640,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L3794483,US-NC,691.89600,1.58500,in,nesbox,e,3.81000,NW-ag,NW-ag,
L3794518,US-NC,686.10480,1.43260,in,nesbox,s,3.81000,NW-ag,NW-ag,
L3832927,US-NC,688.84800,1.67640,on,poptow,,,NW-ag,NW-ag,
L3832934,US-NC,693.11520,1.70690,on,poptow,,,NW-ag,NW-ag,
L3832941,US-NC,682.14240,1.58500,on,poptow,,,NW-ag,NW-ag,
L3832943,US-NC,680.31360,1.64590,on,poptow,,,NW-ag,NW-ag,
L3832946,US-NC,677.26560,1.67640,on,poptow,,,NW-ag,NW-ag,
L3832950,US-NC,676.04640,1.64590,on,poptow,,,NW-ag,NW-ag,
L3832954,US-NC,679.39920,1.70690,on,poptow,,,NW-ag,NW-ag,
L3832957,US-NC,669.03600,1.58500,on,poptow,,,NW-ag,NW-ag,
L3832959,US-NC,678.48480,1.73740,on,poptow,,,NW-ag,NW-for,
L3832976,US-NC,700.43040,1.67640,on,poptow,,,NW-ag,NW-ag,
L3832988,US-NC,689.15280,1.82880,on,poptow,,,NW-ag,NW-road,
L3832989,US-NC,,1.82880,on,poptow,,,NW-ag,NW-road,
L4443057,US-NC,99.97440,1.58500,in,nesbox,nw,1.50000,NW-ry,NW-ry,
L3761596,US-NC,93.87840,1.58500,in,nesbox,nw,1.50000,NW-campus,NW-campus,
L3772178,US-NC,93.87840,1.58500,in,nesbox,nw,1.50000,NW-campus,NW-campus,
L3826958,US-NC,93.87840,1.58500,in,nesbox,nw,1.50000,NW-campus,NW-campus,
L4342418,US-NC,93.87840,1.67640,in,nesbox,se,1.50000,NW-campus,NW-campus,
L3587999,US-NC,93.87840,1.58500,in,nesbox,se,3.81000,NW-campus,NW-campus,
L4700156,US-NC,93.87840,1.67640,in,nesbox,e,1.50000,NW-campus,NW-campus,
L4752225,US-NC,263.95680,1.52400,in,nesbox,e,3.81000,NW-ry,NW-for,
L212794,US-NC,146.30100,2.05740,in,nesbox,se,3.97000,,,
L5634100,US-NC,99.97440,1.58500,in,nesbox,n,3.81000,NW-park,NW-park,
L5714250,US-NC,0.00000,1.83000,in,nesbox,ne,,NW-ry,NW-oth,
L5667188,US-NC,,1.52400,in,nesbox,s,,NW-ry,NW-for,
L5749955,US-NC,0.00000,1.82880,in,nesbox,ne,,NW-ry,NW-ry,
L5612490,US-NC,123.44400,1.52400,in,nesbox,se,3.96200,NW-ry,NW-for,
L5997884,US-NC,,1.82880,in,nesbox,ne,3.81000,NW-golf,NW-golf,
L5997810,US-NC,156.66720,1.82880,in,nesbox,ne,,NW-golf,NW-golf,
L5997912,US-NC,156.97200,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L5997935,US-NC,155.75280,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L5997949,US-NC,160.32480,1.82880,in,nesbox,e,3.81000,NW-for,NW-golf,
L6005826,US-NC,0.00000,1.82880,in,nesbox,,,NW-for,NW-golf,
L2276378,US-NC,,1.52400,on,poptow,,,NW-ry,NW-fw,
L6329497,US-NC,,1.52400,in,nesbox,s,3.81000,NW-oth,NW-for,
L6329460,US-NC,,1.52400,in,nesbox,se,3.81000,NW-grass,NW-grass,
L6329438,US-NC,,1.52400,in,nesbox,se,3.81000,NW-grass,NW-for,
L6329392,US-NC,,1.52400,in,nesbox,se,3.81000,NW-grass,NW-grass,
L56713,US-NC,152.40000,1.59110,in,nesbox,e,4.14000,NW-ry,,
L56711,US-NC,152.40000,1.64900,in,nesbox,e,4.14000,NW-ry,,
L7220285,US-NC,204.21600,1.67640,in,nesbox,se,3.81000,NW-for,NW-fw,
L7220537,US-NC,204.21600,1.67640,in,nesbox,e,3.81000,NW-for,NW-ag,
L7256275,US-NC,,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L7330983,US-NC,99.97440,1.58500,in,nesbox,e,,NW-park,NW-park,
L56714,US-NC,152.40000,1.59110,in,nesbox,e,4.14000,NW-ry,NW-ry,
L8880273,US-NC,,1.31980,in,nesbox,n,3.81000,NW-ry,NW-golf,
L8853687,US-NC,,1.57580,in,nesbox,w,3.81000,NW-golf,NW-ry,
L8853788,US-NC,,1.54840,in,nesbox,ne,3.81000,NW-golf,NW-ry,
L8853818,US-NC,,1.60020,in,nesbox,w,3.81000,NW-golf,NW-ry,
L8853895,US-NC,,1.57580,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L8853918,US-NC,,1.52400,in,nesbox,n,3.81000,NW-golf,NW-ry,
L8853937,US-NC,,1.62460,in,nesbox,e,3.81000,NW-ry,NW-ry,
L8853954,US-NC,,1.54840,in,nesbox,w,3.81000,NW-golf,NW-ry,
L8853997,US-NC,,1.70080,in,nesbox,se,3.81000,NW-golf,NW-ry,
L8854027,US-NC,,1.70080,in,nesbox,e,3.81000,NW-golf,NW-ry,
L8854135,US-NC,,1.67640,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L9130982,US-NC,,1.31980,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L9141078,US-NC,714.75600,1.52400,on,poptow,,,NW-ry,NW-for,
L9164878,US-NC,,1.62460,in,nesbox,e,3.81000,NW-ry,NW-ry,
L9224290,US-NC,714.75600,1.52400,on,poptow,,,NW-ry,NW-for,
L9122256,US-NC,723.90000,1.52400,on,poptow,,,NW-com-ind,NW-for,
L9285437,US-NC,231.95280,1.82880,in,nesbox,e,3.81000,NW-ry,NW-ry,
L3530126,US-NC,,4.57200,in,nesbox,w,3.81000,NW-oth,NW-fw,
L9353749,US-NC,120.09000,1.82880,on,poptow,,,NW-ry,NW-for,
L9396995,US-NC,746.76000,1.52400,on,poptow,,,NW-ry,NW-for,
L9431690,US-NC,167.64000,1.52400,in,nesbox,se,27.94000,NW-ry,NW-for,
L9514555,US-NC,,1.57580,in,nesbox,s,3.81000,NW-ry,NW-ry,
L9593656,US-NC,746.76000,1.52400,on,poptow,,,NW-ry,NW-ry,
L9593736,US-NC,746.76000,1.52400,on,poptow,,,NW-ry,NW-ry,
L9674658,US-NC,646.17600,1.82880,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L9322805,US-NC,746.76000,1.52400,on,poptow,,,NW-park,NW-campus,
L9124830,US-NC,701.04000,1.52400,on,poptow,,,NW-ry,NW-ry,
L9125984,US-NC,714.75600,1.82880,on,poptow,,,NW-ry,NW-ry,
L9140895,US-NC,714.75600,1.52400,on,poptow,,,NW-ry,NW-for,
L9127804,US-NC,670.56000,1.52400,on,poptow,,,NW-ry,NW-ry,
L9143253,US-NC,708.66000,1.52400,on,poptow,,,NW-ry,NW-for,
L10371535,US-NC,219.45600,1.82880,in,nesbox,s,3.81000,NW-ry,NW-ry,
L10690935,US-NC,222.50400,2.13360,in,nesbox,s,3.81000,NW-for,NW-golf,
L10683881,US-NC,222.50400,1.98120,in,nesbox,se,3.81000,NW-ry,NW-ry,
L10683885,US-NC,222.50400,1.67640,in,nesbox,w,3.81000,NW-ry,NW-ry,
L10765858,US-NC,222.50400,1.52400,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L10765914,US-NC,216.40800,1.52400,in,nesbox,sw,3.17500,NW-ry,NW-ry,
L10371429,US-NC,219.45600,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L10891740,US-NC,,1.67640,in,nesbox,s,3.81000,NW-ry,NW-ry,
L10949222,US-NC,,1.76780,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L10949732,US-NC,701.04000,15.54480,on,poptow,,,NW-park,NW-for,
L10940442,US-NC,99.97440,1.58500,in,nesbox,e,3.81000,NW-park,NW-park,
L3553814,US-NC,93.87840,1.67640,in,nesbox,se,1.50000,NW-campus,NW-campus,
L10989859,US-NC,853.44000,1.21920,in,nesbox,s,3.81000,NW-ry,NW-for,
L11033875,US-NC,129.84480,1.82880,in,nesbox,w,3.81000,NW-ry,NW-ry,
L3532678,US-NC,,2.43840,in,nesbox,n,3.17500,NW-ry,NW-for,
L9541944,US-NC,362.10240,1.67640,in,nesbox,n,3.81000,NW-ry,NW-ry,
L11042130,US-NC,207.26400,2.13360,in,nesbox,e,3.81000,NW-road,NW-for,
L11042151,US-NC,207.26400,1.98120,in,nesbox,e,3.81000,NW-ag,NW-for,
L1525735,US-NC,1342.03440,1.52400,in,nesbox,s,3.81000,NW-golf,NW-for,
L11029561,US-NC,1319.17440,1.52400,in,nesbox,n,3.81000,NW-golf,NW-for,
L11029581,US-NC,1320.08880,1.52400,in,nesbox,n,3.81000,NW-golf,NW-for,
L11029585,US-NC,1303.93440,1.52400,in,nesbox,s,3.81000,NW-golf,NW-for,
L11029630,US-NC,1299.66720,1.52400,in,nesbox,se,3.81000,NW-golf,NW-for,
L8995690,US-NC,853.44000,1.21920,in,nesbox,n,15.24000,NW-ry,NW-for,
L10742306,US-NC,216.40800,1.82880,in,nesbox,e,3.17500,NW-for,NW-ry,
L11292346,US-NC,,1.67640,in,nesbox,sw,4.44500,NW-for,NW-ry,
L11297447,US-NC,17.06880,1.52400,in,nesbox,nw,3.81000,NW-ry,NW-ry,
L11340101,US-NC,0.00000,1.52400,in,nesbox,,,,,
L11354672,US-NC,,1.67640,in,nesbox,s,3.81000,NW-ry,NW-ry,
L11481144,US-NC,646.78560,1.82880,in,nesbox,n,3.17500,NW-ry,NW-for,
L11549759,US-NC,252.98400,1.21920,in,nesbox,e,3.81000,NW-for,NW-for,
L11152201,US-NC,231.64800,1.52400,in,nesbox,n,3.81000,NW-ry,NW-for,
L344789,US-NC,152.40000,1.49350,in,nesbox,e,1.62500,NW-golf,NW-ry,
L12693999,US-NC,152.40000,1.67640,on,poptow,,,NW-golf,NW-oth,
L344791,US-NC,152.40000,1.49350,in,nesbox,n,1.62500,NW-golf,NW-ry,
L344795,US-NC,152.40000,1.42040,in,nesbox,n,1.62500,NW-golf,NW-golf,
L344801,US-NC,152.40000,1.49350,in,nesbox,e,1.62500,NW-for,NW-golf,
L344802,US-NC,152.40000,1.49350,in,nesbox,ne,4.12700,NW-golf,NW-ry,
L12694275,US-NC,152.40000,1.82880,in,nesbox,ne,4.12700,NW-for,NW-golf,
L344810,US-NC,152.40000,1.82880,in,nesbox,ne,1.62500,NW-golf,NW-golf,
L344814,US-NC,152.40000,1.52400,in,nesbox,n,4.12700,NW-golf,NW-golf,
L12694449,US-NC,152.40000,1.82880,in,nesbox,ne,4.06400,NW-golf,NW-golf,
L13034845,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13035008,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13035037,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13035091,US-NC,0.00000,1.52400,in,nesbox,e,,,,
L13035278,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13035326,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13559342,US-NC,,,in,nesbox,,,,,
L13559381,US-NC,,,in,nesbox,,,,,
L13559429,US-NC,,,in,nesbox,,,,,
L13559467,US-NC,,,in,nesbox,,,,,
L13819832,US-NC,216.40800,1.67640,in,nesbox,s,3.81000,NW-park,NW-park,
L13826594,US-NC,219.45600,1.52400,in,nesbox,e,3.81000,NW-ry,NW-ry,
L13826625,US-NC,219.45600,1.82880,in,nesbox,s,3.81000,NW-ry,NW-ry,
L13467956,US-NC,,,in,nesbox,,,,,
L13467965,US-NC,,,in,nesbox,,,,,
L13467982,US-NC,,,in,nesbox,,,,,
L13467988,US-NC,,,in,nesbox,,,,,
L13474168,US-NC,,,in,nesbox,,,,,
L13847198,US-NC,,1.52400,in,nesbox,s,3.81000,NW-golf,NW-golf,
L13847280,US-NC,,1.52400,in,nesbox,se,3.81000,NW-golf,NW-golf,
L13847324,US-NC,,1.52400,in,nesbox,e,3.81000,NW-golf,NW-golf,
L13847363,US-NC,,1.52400,in,nesbox,e,3.81000,NW-golf,NW-golf,
L13847390,US-NC,,1.52400,in,nesbox,w,3.81000,NW-golf,NW-golf,
L13847429,US-NC,,1.52400,in,nesbox,w,3.81000,NW-golf,NW-golf,
L13847458,US-NC,,1.52400,in,nesbox,sw,3.81000,NW-golf,NW-golf,
L13847485,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-golf,NW-golf,
L13847517,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-golf,NW-golf,
L13847540,US-NC,,1.52400,in,nesbox,nw,3.81000,NW-golf,NW-golf,
L13847574,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-golf,NW-golf,
L13847640,US-NC,,1.52400,in,nesbox,n,3.81000,NW-ry,NW-golf,
L13559492,US-NC,,1.52400,in,nesbox,,3.81000,NW-park,NW-park,
L13559253,US-NC,,1.52400,in,nesbox,,3.81000,NW-park,NW-park,
L13474177,US-NC,,1.52400,in,nesbox,nw,3.81000,NW-grass,NW-grass,
L13467965,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-grass,
L13467973,US-NC,,1.52400,in,nesbox,w,3.81000,NW-grass,NW-grass,
L13467982,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-grass,NW-grass,
L13467988,US-NC,,1.52400,in,nesbox,sw,3.81000,NW-grass,NW-grass,
L13474168,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-grass,
L13951193,US-NC,,1.64590,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L13951250,US-NC,,1.49350,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L13559235,US-NC,,1.52400,in,nesbox,se,3.81000,NW-park,NW-park,
L13559342,US-NC,,1.52400,in,nesbox,w,3.81000,NW-park,NW-park,
L13559253,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-park,
L13559391,US-NC,,1.52400,in,nesbox,s,3.81000,NW-park,NW-for,
L13559418,US-NC,,1.52400,in,nesbox,s,3.81000,NW-park,NW-for,
L13559429,US-NC,,1.52400,in,nesbox,n,3.81000,NW-park,NW-fw,
L13559467,US-NC,,1.52400,in,nesbox,w,3.81000,NW-park,NW-park,
L13559492,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-park,
L10949323,US-NC,,1.67640,in,nesbox,n,4.44500,NW-ry,NW-golf,
L14014060,US-NC,,1.52400,in,nesbox,s,3.81000,NW-ry,NW-golf,
L10891784,US-NC,,1.60020,in,nesbox,e,2.54000,NW-golf,NW-golf,
L13951335,US-NC,,1.60020,in,nesbox,se,3.81000,NW-ry,NW-ry,
L13951387,US-NC,,1.58500,in,nesbox,se,3.81000,NW-ry,NW-ry,
L14014563,US-NC,,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L14014652,US-NC,,1.44780,in,nesbox,se,3.81000,NW-ry,NW-golf,
L8853602,US-NC,,1.70690,in,nesbox,n,3.81000,NW-golf,NW-ry,
L8853844,US-NC,,1.57280,in,nesbox,se,3.81000,NW-golf,NW-ry,
L9056557,US-NC,,1.61540,in,nesbox,nw,3.81000,NW-ry,NW-ry,
L8853859,US-NC,,1.52400,in,nesbox,nw,3.81000,NW-golf,NW-ry,
L8853830,US-NC,,1.62460,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L14066454,US-NC,,,in,nesbox,se,,NW-grass,NW-for,
L14075262,US-NC,0.00000,1.52400,on,poptow,,,,,
L14078974,US-NC,,,in,nesbox,s,3.81000,NW-ry,NW-ry,
L10949323,US-NC,,1.67640,in,nesbox,n,4.44500,NW-ry,NW-golf,
L14103253,US-NC,0.00000,1.46300,in,nesbox,e,,,,
L14145500,US-NC,0.00000,1.82880,in,nesbox,e,,,,
L14145665,US-NC,0.00000,1.82880,in,nesbox,n,,,,
L14145900,US-NC,0.00000,1.82880,in,nesbox,se,,,,
L14146834,US-NC,222.50400,2.13360,in,nesbox,sw,3.81000,NW-ry,NW-for,
L14163895,US-NC,54.86400,1.37160,in,nesbox,s,3.81000,NW-ry,NW-ry,
L14195666,US-NC,0.00000,0.00000,on,nesbox,se,,,,
L14205420,US-NC,0.00000,1.82880,in,nesbox,,,,,
L14205578,US-NC,0.00000,1.82880,in,nesbox,,,,,
L14265073,US-NC,0.00000,2.43840,in,nesbox,,,,,
L9143233,US-NC,743.71200,1.52400,on,poptow,,,NW-ry,NW-for,
L9224239,US-NC,725.42400,1.52400,on,poptow,,,NW-road,NW-for,
L14326639,US-NC,244.14480,1.52400,on,poptow,,,NW-ry,NW-for,
L14361965,US-NC,0.00000,1.21920,on,poptow,,,,,
L14386075,US-NC,225.55200,1.82880,in,nesbox,s,3.81000,NW-ry,NW-ry,
L14405134,US-NC,0.00000,1.82880,in,nesbox,,,,,
L14406055,US-NC,0.00000,2.43840,in,nesbox,se,,,,
L14406092,US-NC,0.00000,2.43840,in,nesbox,se,,,,
L14406160,US-NC,0.00000,2.43840,in,nesbox,se,,,,
L10949222,US-NC,,1.60020,in,nesbox,e,3.81000,NW-ry,NW-ry,
L14436209,US-NC,0.00000,1.82880,in,nesbox,nw,,,,
L14447788,US-NC,0.00000,1.82880,in,nesbox,se,,,,
L14447854,US-NC,0.00000,1.82880,in,nesbox,,,,,
L14448782,US-NC,231.64800,1.37160,in,nesbox,se,3.81000,NW-ry,NW-for,
L14610929,US-NC,,1.82880,in,nesbox,n,,NW-for,NW-ry,
L14622692,US-NC,,1.67640,in,nesbox,w,3.81000,NW-ry,NW-for,
L14628340,US-NC,129.23520,1.52400,on,nesbox,e,3.81000,NW-golf,NW-ry,
L14628377,US-NC,129.23520,1.52400,on,nesbox,e,3.81000,NW-golf,NW-ry,
L14628424,US-NC,129.23520,1.52400,on,nesbox,e,3.81000,NW-golf,NW-ry,
L14628495,US-NC,129.23520,1.52400,on,nesbox,e,3.81000,NW-golf,NW-ry,
L14757511,US-NC,0.00000,1.52400,in,nesbox,,,,,
L14841563,US-NC,641.17730,,in,nesbox,sw,,,NW-for,
L14842292,US-NC,,,in,nesbox,,,,,
L14854635,US-NC,658.36800,,in,nesbox,,,NW-grass,NW-grass,
L14854865,US-NC,656.84400,,in,nesbox,,,,,
L14854947,US-NC,656.84400,,in,nesbox,,,NW-grass,,
L14855214,US-NC,661.72080,,in,nesbox,,,,,
L14855503,US-NC,654.71040,,in,nesbox,,,NW-for,,
L14855710,US-NC,678.18000,,in,nesbox,,,,,
L14855214,US-NC,661.72080,,in,nesbox,,,NW-park,NW-campus,
L14867816,US-NC,,,in,nesbox,,,NW-park,NW-for,
L14950572,US-NC,219.45600,1.52400,in,nesbox,,3.81000,NW-ry,NW-ry,
L12693999,US-NC,152.40000,1.67640,on,poptow,,,NW-golf,NW-oth,
L344787,US-NC,152.40000,1.42040,in,nesbox,ne,4.12800,NW-golf,NW-ry,
L344788,US-NC,141.12240,1.47220,in,nesbox,e,3.81000,NW-golf,NW-ry,
L344789,US-NC,152.40000,1.49350,in,nesbox,e,1.62500,NW-golf,NW-golf,
L344793,US-NC,152.40000,1.79830,in,nesbox,e,3.81000,NW-golf,NW-golf,
L344795,US-NC,152.40000,1.42040,in,nesbox,n,1.62500,NW-golf,NW-golf,
L344798,US-NC,152.40000,1.49350,in,nesbox,e,4.12800,NW-golf,NW-golf,
L344794,US-NC,152.40000,1.52400,in,nesbox,e,4.12800,NW-golf,NW-golf,
L12694128,US-NC,152.40000,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L344802,US-NC,152.40000,1.49350,in,nesbox,ne,4.12800,NW-golf,NW-ry,
L344804,US-NC,152.40000,1.67640,in,nesbox,e,1.62500,NW-golf,NW-golf,
L12694231,US-NC,152.40000,1.52400,in,nesbox,ne,4.06400,NW-for,NW-golf,
L344805,US-NC,152.40000,1.44780,in,nesbox,nw,4.12800,NW-for,NW-golf,
L344807,US-NC,152.40000,1.82880,in,nesbox,e,4.12800,NW-golf,NW-golf,
L12694275,US-NC,152.40000,1.82880,in,nesbox,ne,4.12800,NW-for,NW-golf,
L344810,US-NC,152.40000,1.82880,in,nesbox,ne,1.62500,NW-golf,NW-golf,
L344811,US-NC,152.40000,1.42040,in,nesbox,e,2.54000,NW-golf,NW-golf,
L344791,US-NC,152.40000,1.49350,in,nesbox,n,1.62500,NW-golf,NW-ry,
L344815,US-NC,152.40000,1.82880,in,nesbox,e,4.12800,NW-golf,NW-golf,
L12694449,US-NC,152.40000,1.82880,in,nesbox,ne,4.06400,NW-golf,NW-golf,
L5997884,US-NC,,1.82880,in,nesbox,ne,3.81000,NW-golf,NW-golf,
L5997902,US-NC,155.44800,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L6005826,US-NC,0.00000,1.82880,in,nesbox,,,NW-for,NW-golf,
L5997935,US-NC,155.75280,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L5997912,US-NC,156.97200,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L5997810,US-NC,156.66720,1.82880,in,nesbox,ne,,NW-golf,NW-golf,
L5997949,US-NC,160.32480,1.82880,in,nesbox,e,3.81000,NW-for,NW-golf,
L14447735,US-NC,0.00000,1.82880,in,nesbox,se,38.10000,NW-ry,NW-for,
L14447759,US-NC,0.00000,1.82880,in,nesbox,se,38.10000,NW-ry,NW-for,
L14995710,US-NC,6.09600,1.37160,in,nesbox,e,3.81000,NW-ry,NW-ry,
L14406055,US-NC,0.00000,2.43840,in,nesbox,se,38.10000,NW-for,NW-ry,
L15113089,US-NC,,,,nesbox,,,,,
L15113272,US-NC,,,in,nesbox,,,,,
L15146743,US-NC,,1.37000,,nesbox,se,,,,
L15182345,US-NC,0.00000,2.43840,in,nesbox,,,,,
L15207459,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-golf,NW-golf,
L15236689,US-NC,,,in,nesbox,e,3.81000,NW-ry,NW-golf,
L15274259,US-NC,,,,nesbox,,,,,
L15271241,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-grass,
L15301806,US-NC,237.74400,1.82880,in,nesbox,sw,3.81000,NW-oth,NW-ry,
L15306024,US-NC,,,,nesbox,,,,,
L15307226,US-NC,,2.13000,,nesbox,s,,,,
L15332433,US-NC,2.74320,,,nesbox,,,,,
L15465618,US-NC,,2.13360,in,nesbox,e,3.81000,NW-for,NW-ry,
L15492095,US-NC,160.02000,1.52000,,nesbox,ne,,,,
L15610417,US-NC,684.27600,2.43840,in,nesbox,sw,2.54000,NW-ry,NW-ry,
L15700135,US-NC,,2.13000,,nesbox,s,,,,
L15748062,US-NC,,,,nesbox,,,,,
L16481639,US-NC,295.65600,1.82880,in,nesbox,n,3.81000,NW-ry,NW-for,
L18231191,US-NC,,2.44000,,nesbox,e,,,,
L19283893,US-NC,,,,nesbox,,,,,
L1425368,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-grass,NW-grass,
L2737597,US-NC,,1.52400,in,nesbox,se,3.17500,NW-ry,NW-ry,
L692317,US-NC,137.19960,1.67640,in,nesbox,se,3.81000,NW-ry,NW-ry,
