"","Location","Bird.Call","Distance","jd","mean_noise","Confidence"
"1","eno","Acadian Flycatcher","25m",137,0.0594884739947621,0.986
"2","eno","Acadian Flycatcher","25m",142,0.0882721839051551,0.8742
"3","eno","Acadian Flycatcher","25m",170,0.0158828649711187,0.8852
"4","eno","Acadian Flycatcher","50m",142,0.0882721839051551,0.7733
"5","eno","Acadian Flycatcher","50m",170,0.0158828649711187,0.1919
"6","eno","Blue-gray Gnatcatcher","25m",137,0.0594884739947621,0.6267
"7","eno","Blue-gray Gnatcatcher","25m",142,0.0882721839051551,0.9601
"8","eno","Blue-gray Gnatcatcher","25m",170,0.0158828649711187,0.9838
"9","eno","Blue-gray Gnatcatcher","50m",142,0.0882721839051551,0.8503
"10","eno","Blue-gray Gnatcatcher","50m",170,0.0158828649711187,0.6358
"11","eno","Carolina Wren","25m",137,0.0594884739947621,0.9176
"12","eno","Carolina Wren","25m",142,0.0882721839051551,0.9604
"13","eno","Carolina Wren","25m",170,0.0158828649711187,0.9737
"14","eno","Carolina Wren","50m",142,0.0882721839051551,0.9296
"15","eno","Carolina Wren","50m",170,0.0158828649711187,0.4052
"16","eno","Eastern Wood-Pewee","25m",137,0.0594884739947621,0.3144
"17","eno","Eastern Wood-Pewee","25m",142,0.0882721839051551,0.5729
"18","eno","Eastern Wood-Pewee","25m",170,0.0158828649711187,0.9257
"19","eno","Eastern Wood-Pewee","50m",142,0.0882721839051551,0.901
"20","eno","Eastern Wood-Pewee","50m",170,0.0158828649711187,0.634
"21","eno","Mourning Dove","25m",137,0.0594884739947621,0.1627
"22","eno","Mourning Dove","25m",142,0.0882721839051551,0.3096
"23","eno","Mourning Dove","25m",170,0.0158828649711187,0.9092
"24","eno","Mourning Dove","50m",142,0.0882721839051551,0.004
"25","eno","Mourning Dove","50m",170,0.0158828649711187,0.2444
"26","eno","Yellow-billed Cuckoo","25m",137,0.0594884739947621,0.942
"27","eno","Yellow-billed Cuckoo","25m",142,0.0882721839051551,0.978
"28","eno","Yellow-billed Cuckoo","25m",170,0.0158828649711187,0.9687
"29","eno","Yellow-billed Cuckoo","50m",142,0.0882721839051551,0.0136
"30","eno","Yellow-billed Cuckoo","50m",170,0.0158828649711187,0.9955
"31","jmill","Acadian Flycatcher","25m",141,0.170275328545878,0.9047
"32","jmill","Acadian Flycatcher","25m",169,0.00786338267855732,0.915
"33","jmill","Acadian Flycatcher","50m",141,0.170275328545878,0.5524
"34","jmill","Acadian Flycatcher","50m",169,0.00786338267855732,0.9498
"35","jmill","Blue-gray Gnatcatcher","25m",141,0.170275328545878,0.878
"36","jmill","Blue-gray Gnatcatcher","25m",169,0.00786338267855732,0.9169
"37","jmill","Blue-gray Gnatcatcher","50m",141,0.170275328545878,0.1818
"38","jmill","Blue-gray Gnatcatcher","50m",169,0.00786338267855732,0.7769
"39","jmill","Carolina Wren","25m",141,0.170275328545878,0.9614
"40","jmill","Carolina Wren","25m",169,0.00786338267855732,0.8237
"41","jmill","Carolina Wren","50m",141,0.170275328545878,0.6709
"42","jmill","Carolina Wren","50m",169,0.00786338267855732,0.8525
"43","jmill","Eastern Wood-Pewee","25m",141,0.170275328545878,0.8497
"44","jmill","Eastern Wood-Pewee","25m",169,0.00786338267855732,0.9073
"45","jmill","Eastern Wood-Pewee","50m",141,0.170275328545878,0.1273
"46","jmill","Eastern Wood-Pewee","50m",169,0.00786338267855732,0.8426
"47","jmill","Mourning Dove","25m",141,0.170275328545878,0.9928
"48","jmill","Mourning Dove","25m",169,0.00786338267855732,0.2335
"49","jmill","Mourning Dove","50m",141,0.170275328545878,0.2065
"50","jmill","Mourning Dove","50m",169,0.00786338267855732,0.0507
"51","jmill","Yellow-billed Cuckoo","25m",141,0.170275328545878,0.9917
"52","jmill","Yellow-billed Cuckoo","25m",169,0.00786338267855732,0.9955
"53","jmill","Yellow-billed Cuckoo","50m",141,0.170275328545878,0.8007
"54","jmill","Yellow-billed Cuckoo","50m",169,0.00786338267855732,0.9975
"55","ncbg","Acadian Flycatcher","25m",138,0.11689130404062,0.9879
"56","ncbg","Acadian Flycatcher","25m",145,0.0302925805069077,0.9755
"57","ncbg","Acadian Flycatcher","25m",166,0.0166425217746495,0.9197
"58","ncbg","Acadian Flycatcher","50m",145,0.0302925805069077,0.9711
"59","ncbg","Acadian Flycatcher","50m",166,0.0166425217746495,0.6895
"60","ncbg","Blue-gray Gnatcatcher","25m",138,0.11689130404062,0.884
"61","ncbg","Blue-gray Gnatcatcher","25m",145,0.0302925805069077,0.9755
"62","ncbg","Blue-gray Gnatcatcher","25m",166,0.0166425217746495,0.9612
"63","ncbg","Blue-gray Gnatcatcher","50m",145,0.0302925805069077,0.9379
"64","ncbg","Blue-gray Gnatcatcher","50m",166,0.0166425217746495,0.8334
"65","ncbg","Carolina Wren","25m",138,0.11689130404062,0.8096
"66","ncbg","Carolina Wren","25m",145,0.0302925805069077,0.9988
"67","ncbg","Carolina Wren","25m",166,0.0166425217746495,0.9918
"68","ncbg","Carolina Wren","50m",145,0.0302925805069077,0.9997
"69","ncbg","Carolina Wren","50m",166,0.0166425217746495,0.989
"70","ncbg","Eastern Wood-Pewee","25m",138,0.11689130404062,0.6409
"71","ncbg","Eastern Wood-Pewee","25m",145,0.0302925805069077,0.9247
"72","ncbg","Eastern Wood-Pewee","25m",166,0.0166425217746495,0.7757
"73","ncbg","Eastern Wood-Pewee","50m",145,0.0302925805069077,0.9291
"74","ncbg","Eastern Wood-Pewee","50m",166,0.0166425217746495,0.5721
"75","ncbg","Mourning Dove","25m",138,0.11689130404062,0.7703
"76","ncbg","Mourning Dove","25m",145,0.0302925805069077,0.8241
"77","ncbg","Mourning Dove","25m",166,0.0166425217746495,0.9307
"78","ncbg","Mourning Dove","50m",145,0.0302925805069077,0.0384
"79","ncbg","Mourning Dove","50m",166,0.0166425217746495,0.0099
"80","ncbg","Yellow-billed Cuckoo","25m",138,0.11689130404062,0.9371
"81","ncbg","Yellow-billed Cuckoo","25m",145,0.0302925805069077,0.9974
"82","ncbg","Yellow-billed Cuckoo","25m",166,0.0166425217746495,0.973
"83","ncbg","Yellow-billed Cuckoo","50m",145,0.0302925805069077,0.9948
"84","ncbg","Yellow-billed Cuckoo","50m",166,0.0166425217746495,0.0036
"85","pridge","Acadian Flycatcher","25m",143,0.01456446354186,0.9701
"86","pridge","Acadian Flycatcher","25m",171,0.0135295037009605,0.8736
"87","pridge","Acadian Flycatcher","50m",143,0.01456446354186,0.9029
"88","pridge","Acadian Flycatcher","50m",171,0.0135295037009605,0.573
"89","pridge","Blue-gray Gnatcatcher","25m",143,0.01456446354186,0.9562
"90","pridge","Blue-gray Gnatcatcher","25m",171,0.0135295037009605,0.9539
"91","pridge","Blue-gray Gnatcatcher","50m",143,0.01456446354186,0.8234
"92","pridge","Blue-gray Gnatcatcher","50m",171,0.0135295037009605,0.9228
"93","pridge","Carolina Wren","25m",143,0.01456446354186,0.9737
"94","pridge","Carolina Wren","25m",171,0.0135295037009605,0.9848
"95","pridge","Carolina Wren","50m",143,0.01456446354186,0.929
"96","pridge","Carolina Wren","50m",171,0.0135295037009605,0.9919
"97","pridge","Eastern Wood-Pewee","25m",143,0.01456446354186,0.8593
"98","pridge","Eastern Wood-Pewee","25m",171,0.0135295037009605,0.8097
"99","pridge","Eastern Wood-Pewee","50m",143,0.01456446354186,0.838
"100","pridge","Eastern Wood-Pewee","50m",171,0.0135295037009605,0.8359
"101","pridge","Mourning Dove","25m",143,0.01456446354186,0.0565
"102","pridge","Mourning Dove","25m",171,0.0135295037009605,0.5276
"103","pridge","Mourning Dove","50m",143,0.01456446354186,0.0341
"104","pridge","Mourning Dove","50m",171,0.0135295037009605,0.0118
"105","pridge","Yellow-billed Cuckoo","25m",143,0.01456446354186,0.9967
"106","pridge","Yellow-billed Cuckoo","25m",171,0.0135295037009605,0.9305
"107","pridge","Yellow-billed Cuckoo","50m",143,0.01456446354186,0.8541
"108","pridge","Yellow-billed Cuckoo","50m",171,0.0135295037009605,0.5071
"109","unc","Acadian Flycatcher","25m",137,0.0668461296175568,0.8581
"110","unc","Acadian Flycatcher","25m",144,0.0427830938926686,0.9849
"111","unc","Acadian Flycatcher","25m",172,0.0185319477506571,0.8837
"112","unc","Acadian Flycatcher","50m",144,0.0427830938926686,0.0812
"113","unc","Acadian Flycatcher","50m",172,0.0185319477506571,0.2049
"114","unc","Blue-gray Gnatcatcher","25m",137,0.0668461296175568,0.7645
"115","unc","Blue-gray Gnatcatcher","25m",144,0.0427830938926686,0.6863
"116","unc","Blue-gray Gnatcatcher","25m",172,0.0185319477506571,0.8345
"117","unc","Blue-gray Gnatcatcher","50m",144,0.0427830938926686,0.1437
"118","unc","Blue-gray Gnatcatcher","50m",172,0.0185319477506571,0.178
"119","unc","Carolina Wren","25m",137,0.0668461296175568,0.5446
"120","unc","Carolina Wren","25m",144,0.0427830938926686,0.9578
"121","unc","Carolina Wren","25m",172,0.0185319477506571,0.8786
"122","unc","Carolina Wren","50m",144,0.0427830938926686,0.6835
"123","unc","Carolina Wren","50m",172,0.0185319477506571,0.6958
"124","unc","Eastern Wood-Pewee","25m",137,0.0668461296175568,0.7591
"125","unc","Eastern Wood-Pewee","25m",144,0.0427830938926686,0.9425
"126","unc","Eastern Wood-Pewee","25m",172,0.0185319477506571,0.7562
"127","unc","Eastern Wood-Pewee","50m",144,0.0427830938926686,0.7483
"128","unc","Eastern Wood-Pewee","50m",172,0.0185319477506571,0.0785
"129","unc","Mourning Dove","25m",137,0.0668461296175568,0.0046
"130","unc","Mourning Dove","25m",144,0.0427830938926686,0.0093
"131","unc","Mourning Dove","25m",172,0.0185319477506571,0.0047
"132","unc","Mourning Dove","50m",144,0.0427830938926686,0.0115
"133","unc","Mourning Dove","50m",172,0.0185319477506571,0.0044
"134","unc","Yellow-billed Cuckoo","25m",137,0.0668461296175568,0.0012
"135","unc","Yellow-billed Cuckoo","25m",144,0.0427830938926686,0.0043
"136","unc","Yellow-billed Cuckoo","25m",172,0.0185319477506571,0.0038
"137","unc","Yellow-billed Cuckoo","50m",144,0.0427830938926686,0.0016
"138","unc","Yellow-billed Cuckoo","50m",172,0.0185319477506571,0.0026
