"","Location.x","Bird.Call.x","Distance.x","jd.x","mean_noise","Confidence","Start.Time","End.Time"
"1","eno","Acadian Flycatcher","25m",137,0.0594884739947621,0.8209,61.5,64.5
"2","eno","Acadian Flycatcher","25m",142,0.0882721839051551,0.5688,88.5,91.5
"3","eno","Acadian Flycatcher","25m",170,0.0158828649711187,0.3037,124.5,127.5
"4","eno","Acadian Flycatcher","50m",142,0.0882721839051551,0.1445,183,186
"5","eno","Acadian Flycatcher","50m",170,0.0158828649711187,0.0077,12,15
"6","eno","Blue-gray Gnatcatcher","25m",137,0.0594884739947621,0.1993,112.5,115.5
"7","eno","Blue-gray Gnatcatcher","25m",142,0.0882721839051551,0.6369,6,9
"8","eno","Blue-gray Gnatcatcher","25m",170,0.0158828649711187,0.8447,94.5,97.5
"9","eno","Blue-gray Gnatcatcher","50m",142,0.0882721839051551,0.0015,184.5,187.5
"10","eno","Blue-gray Gnatcatcher","50m",142,0.0882721839051551,0.0015,96,99
"11","eno","Blue-gray Gnatcatcher","50m",170,0.0158828649711187,0.2859,139.5,142.5
"12","eno","Carolina Wren","25m",137,0.0594884739947621,0.1124,190.5,193.5
"13","eno","Carolina Wren","25m",142,0.0882721839051551,0.4157,10.5,13.5
"14","eno","Carolina Wren","25m",170,0.0158828649711187,0.4409,99,102
"15","eno","Carolina Wren","50m",142,0.0882721839051551,0.4808,189,192
"16","eno","Carolina Wren","50m",170,0.0158828649711187,9e-04,18,21
"17","eno","Carolina Wren","50m",170,0.0158828649711187,9e-04,135,138
"18","eno","Eastern Wood-Pewee","25m",137,0.0594884739947621,0.1106,244.5,247.5
"19","eno","Eastern Wood-Pewee","25m",142,0.0882721839051551,0.0079,141,144
"20","eno","Eastern Wood-Pewee","25m",142,0.0882721839051551,0.0079,145.5,148.5
"21","eno","Eastern Wood-Pewee","25m",142,0.0882721839051551,0.0079,33,36
"22","eno","Eastern Wood-Pewee","25m",170,0.0158828649711187,0.5545,133.5,136.5
"23","eno","Eastern Wood-Pewee","50m",142,0.0882721839051551,0.4918,190.5,193.5
"24","eno","Eastern Wood-Pewee","50m",170,0.0158828649711187,0.0079,141,144
"25","eno","Eastern Wood-Pewee","50m",170,0.0158828649711187,0.0079,145.5,148.5
"26","eno","Eastern Wood-Pewee","50m",170,0.0158828649711187,0.0079,33,36
"27","eno","Mourning Dove","25m",137,0.0594884739947621,0.0294,282,285
"28","eno","Mourning Dove","25m",142,0.0882721839051551,0.2142,25.5,28.5
"29","eno","Mourning Dove","25m",170,0.0158828649711187,0.1854,141,144
"30","eno","Mourning Dove","50m",142,0.0882721839051551,4e-04,163.5,166.5
"31","eno","Mourning Dove","50m",170,0.0158828649711187,0.0084,153,156
"32","eno","Yellow-billed Cuckoo","25m",137,0.0594884739947621,0.8524,336,339
"33","eno","Yellow-billed Cuckoo","25m",142,0.0882721839051551,0.8077,109.5,112.5
"34","eno","Yellow-billed Cuckoo","25m",170,0.0158828649711187,0.9239,82.5,85.5
"35","eno","Yellow-billed Cuckoo","50m",142,0.0882721839051551,0.0011,169.5,172.5
"36","eno","Yellow-billed Cuckoo","50m",142,0.0882721839051551,0.0011,94.5,97.5
"37","eno","Yellow-billed Cuckoo","50m",170,0.0158828649711187,0.6367,34.5,37.5
"38","jmill","Acadian Flycatcher","25m",141,0.170275328545878,0.8588,22.5,25.5
"39","jmill","Acadian Flycatcher","25m",169,0.00786338267855732,0.7962,105,108
"40","jmill","Acadian Flycatcher","50m",141,0.170275328545878,0.1685,16.5,19.5
"41","jmill","Acadian Flycatcher","50m",169,0.00786338267855732,0.6057,115.5,118.5
"42","jmill","Blue-gray Gnatcatcher","25m",141,0.170275328545878,0.7211,42,45
"43","jmill","Blue-gray Gnatcatcher","25m",169,0.00786338267855732,0.7605,175.5,178.5
"44","jmill","Blue-gray Gnatcatcher","50m",141,0.170275328545878,0.0112,33,36
"45","jmill","Blue-gray Gnatcatcher","50m",169,0.00786338267855732,0.6472,48,51
"46","jmill","Carolina Wren","25m",141,0.170275328545878,0.3658,72,75
"47","jmill","Carolina Wren","25m",169,0.00786338267855732,0.6029,112.5,115.5
"48","jmill","Carolina Wren","50m",141,0.170275328545878,0.2432,63,66
"49","jmill","Carolina Wren","50m",169,0.00786338267855732,0.2752,51,54
"50","jmill","Eastern Wood-Pewee","25m",141,0.170275328545878,0.5833,111,114
"51","jmill","Eastern Wood-Pewee","25m",169,0.00786338267855732,0.7338,183,186
"52","jmill","Eastern Wood-Pewee","50m",141,0.170275328545878,0.0647,91.5,94.5
"53","jmill","Eastern Wood-Pewee","50m",169,0.00786338267855732,0.5551,55.5,58.5
"54","jmill","Mourning Dove","25m",141,0.170275328545878,0.817,148.5,151.5
"55","jmill","Mourning Dove","25m",169,0.00786338267855732,0.0316,187.5,190.5
"56","jmill","Mourning Dove","50m",141,0.170275328545878,0.0719,124.5,127.5
"57","jmill","Mourning Dove","50m",169,0.00786338267855732,0.0298,63,66
"58","jmill","Yellow-billed Cuckoo","25m",141,0.170275328545878,0.9616,178.5,181.5
"59","jmill","Yellow-billed Cuckoo","25m",169,0.00786338267855732,0.9673,196.5,199.5
"60","jmill","Yellow-billed Cuckoo","50m",141,0.170275328545878,0.5301,243,246
"61","jmill","Yellow-billed Cuckoo","50m",169,0.00786338267855732,0.4572,72,75
"62","ncbg","Acadian Flycatcher","25m",138,0.11689130404062,0.9563,25.5,28.5
"63","ncbg","Acadian Flycatcher","25m",145,0.0302925805069077,0.808,46.5,49.5
"64","ncbg","Acadian Flycatcher","25m",166,0.0166425217746495,0.418,81,84
"65","ncbg","Acadian Flycatcher","50m",145,0.0302925805069077,0.7909,76.5,79.5
"66","ncbg","Acadian Flycatcher","50m",166,0.0166425217746495,0.0029,78,81
"67","ncbg","Acadian Flycatcher","50m",166,0.0166425217746495,0.0029,184.5,187.5
"68","ncbg","Blue-gray Gnatcatcher","25m",138,0.11689130404062,0.758,43.5,46.5
"69","ncbg","Blue-gray Gnatcatcher","25m",145,0.0302925805069077,0.9025,120,123
"70","ncbg","Blue-gray Gnatcatcher","25m",166,0.0166425217746495,0.7333,150,153
"71","ncbg","Blue-gray Gnatcatcher","50m",145,0.0302925805069077,0.8564,81,84
"72","ncbg","Blue-gray Gnatcatcher","50m",166,0.0166425217746495,0.1009,135,138
"73","ncbg","Carolina Wren","25m",138,0.11689130404062,0.2501,75,78
"74","ncbg","Carolina Wren","25m",145,0.0302925805069077,0.9667,18,21
"75","ncbg","Carolina Wren","25m",166,0.0166425217746495,0.9316,87,90
"76","ncbg","Carolina Wren","50m",145,0.0302925805069077,0.9955,124.5,127.5
"77","ncbg","Carolina Wren","50m",145,0.0302925805069077,0.9955,129,132
"78","ncbg","Carolina Wren","50m",145,0.0302925805069077,0.9955,49.5,52.5
"79","ncbg","Carolina Wren","50m",166,0.0166425217746495,0.3419,21,24
"80","ncbg","Eastern Wood-Pewee","25m",138,0.11689130404062,0.2289,112.5,115.5
"81","ncbg","Eastern Wood-Pewee","25m",145,0.0302925805069077,0.748,126,129
"82","ncbg","Eastern Wood-Pewee","25m",166,0.0166425217746495,0.5921,156,159
"83","ncbg","Eastern Wood-Pewee","50m",145,0.0302925805069077,0.8284,16.5,19.5
"84","ncbg","Eastern Wood-Pewee","50m",166,0.0166425217746495,0.0022,139.5,142.5
"85","ncbg","Eastern Wood-Pewee","50m",166,0.0166425217746495,0.0022,76.5,79.5
"86","ncbg","Mourning Dove","25m",138,0.11689130404062,0.4467,165,168
"87","ncbg","Mourning Dove","25m",145,0.0302925805069077,0.163,27,30
"88","ncbg","Mourning Dove","25m",166,0.0166425217746495,0.5983,129,132
"89","ncbg","Mourning Dove","50m",145,0.0302925805069077,0.0058,22.5,25.5
"90","ncbg","Mourning Dove","50m",166,0.0166425217746495,5e-04,60,63
"91","ncbg","Yellow-billed Cuckoo","25m",138,0.11689130404062,0.8633,208.5,211.5
"92","ncbg","Yellow-billed Cuckoo","25m",145,0.0302925805069077,0.9622,69,72
"93","ncbg","Yellow-billed Cuckoo","25m",166,0.0166425217746495,0.9122,24,27
"94","ncbg","Yellow-billed Cuckoo","25m",166,0.0166425217746495,0.9122,103.5,106.5
"95","ncbg","Yellow-billed Cuckoo","50m",145,0.0302925805069077,0.8753,67.5,70.5
"96","ncbg","Yellow-billed Cuckoo","50m",166,0.0166425217746495,2e-04,39,42
"97","ncbg","Yellow-billed Cuckoo","50m",166,0.0166425217746495,2e-04,102,105
"98","pridge","Acadian Flycatcher","25m",143,0.01456446354186,0.8717,51,54
"99","pridge","Acadian Flycatcher","25m",171,0.0135295037009605,0.7009,87,90
"100","pridge","Acadian Flycatcher","50m",143,0.01456446354186,0.0512,45,48
"101","pridge","Acadian Flycatcher","50m",171,0.0135295037009605,3e-04,129,132
"102","pridge","Acadian Flycatcher","50m",171,0.0135295037009605,3e-04,343.5,346.5
"103","pridge","Acadian Flycatcher","50m",171,0.0135295037009605,3e-04,370.5,373.5
"104","pridge","Blue-gray Gnatcatcher","25m",143,0.01456446354186,0.8898,52.5,55.5
"105","pridge","Blue-gray Gnatcatcher","25m",171,0.0135295037009605,0.9116,57,60
"106","pridge","Blue-gray Gnatcatcher","50m",143,0.01456446354186,0.7753,120,123
"107","pridge","Blue-gray Gnatcatcher","50m",171,0.0135295037009605,0.5465,102,105
"108","pridge","Carolina Wren","25m",143,0.01456446354186,0.7402,57,60
"109","pridge","Carolina Wren","25m",171,0.0135295037009605,0.7649,124.5,127.5
"110","pridge","Carolina Wren","50m",143,0.01456446354186,0.6759,88.5,91.5
"111","pridge","Carolina Wren","50m",171,0.0135295037009605,0.6499,108,111
"112","pridge","Eastern Wood-Pewee","25m",143,0.01456446354186,0.8151,136.5,139.5
"113","pridge","Eastern Wood-Pewee","25m",171,0.0135295037009605,0.6338,129,132
"114","pridge","Eastern Wood-Pewee","50m",143,0.01456446354186,0.5864,55.5,58.5
"115","pridge","Eastern Wood-Pewee","50m",171,0.0135295037009605,0.3351,141,144
"116","pridge","Mourning Dove","25m",143,0.01456446354186,0.008,103.5,106.5
"117","pridge","Mourning Dove","25m",171,0.0135295037009605,0.3213,70.5,73.5
"118","pridge","Mourning Dove","50m",143,0.01456446354186,0.0037,61.5,64.5
"119","pridge","Mourning Dove","50m",143,0.01456446354186,0.0037,120,123
"120","pridge","Mourning Dove","50m",171,0.0135295037009605,0.0026,46.5,49.5
"121","pridge","Mourning Dove","50m",171,0.0135295037009605,0.0026,324,327
"122","pridge","Mourning Dove","50m",171,0.0135295037009605,0.0026,87,90
"123","pridge","Yellow-billed Cuckoo","25m",143,0.01456446354186,0.8261,150,153
"124","pridge","Yellow-billed Cuckoo","25m",171,0.0135295037009605,0.2563,141,144
"125","pridge","Yellow-billed Cuckoo","50m",143,0.01456446354186,0.0167,31.5,34.5
"126","pridge","Yellow-billed Cuckoo","50m",171,0.0135295037009605,0.0175,61.5,64.5
"127","unc","Acadian Flycatcher","25m",137,0.0668461296175568,6e-04,121.5,124.5
"128","unc","Acadian Flycatcher","25m",144,0.0427830938926686,0.3932,39,42
"129","unc","Acadian Flycatcher","25m",172,0.0185319477506571,0.6691,169.5,172.5
"130","unc","Acadian Flycatcher","50m",144,0.0427830938926686,0.0106,18,21
"131","unc","Acadian Flycatcher","50m",172,0.0185319477506571,0.0055,100.5,103.5
"132","unc","Blue-gray Gnatcatcher","25m",137,0.0668461296175568,0.0117,162,165
"133","unc","Blue-gray Gnatcatcher","25m",144,0.0427830938926686,0.3052,42,45
"134","unc","Blue-gray Gnatcatcher","25m",172,0.0185319477506571,0.4805,43.5,46.5
"135","unc","Blue-gray Gnatcatcher","50m",144,0.0427830938926686,0.0763,105,108
"136","unc","Blue-gray Gnatcatcher","50m",172,0.0185319477506571,0.0504,18,21
"137","unc","Carolina Wren","25m",137,0.0668461296175568,0.4686,210,213
"138","unc","Carolina Wren","25m",144,0.0427830938926686,0.6735,45,48
"139","unc","Carolina Wren","25m",172,0.0185319477506571,0.6021,48,51
"140","unc","Carolina Wren","50m",144,0.0427830938926686,0.3364,31.5,34.5
"141","unc","Carolina Wren","50m",172,0.0185319477506571,0.0348,25.5,28.5
"142","unc","Eastern Wood-Pewee","25m",137,0.0668461296175568,0.5214,240,243
"143","unc","Eastern Wood-Pewee","25m",144,0.0427830938926686,0.6796,87,90
"144","unc","Eastern Wood-Pewee","25m",172,0.0185319477506571,0.5689,51,54
"145","unc","Eastern Wood-Pewee","50m",144,0.0427830938926686,0.0498,78,81
"146","unc","Eastern Wood-Pewee","50m",172,0.0185319477506571,0.0124,112.5,115.5
"147","unc","Mourning Dove","25m",137,0.0668461296175568,3e-04,129,132
"148","unc","Mourning Dove","25m",137,0.0668461296175568,3e-04,343.5,346.5
"149","unc","Mourning Dove","25m",137,0.0668461296175568,3e-04,370.5,373.5
"150","unc","Mourning Dove","25m",144,0.0427830938926686,0.001,126,129
"151","unc","Mourning Dove","25m",172,0.0185319477506571,0.0014,124.5,127.5
"152","unc","Mourning Dove","25m",172,0.0185319477506571,0.0014,87,90
"153","unc","Mourning Dove","50m",144,0.0427830938926686,0.0013,43.5,46.5
"154","unc","Mourning Dove","50m",172,0.0185319477506571,0.0022,139.5,142.5
"155","unc","Mourning Dove","50m",172,0.0185319477506571,0.0022,76.5,79.5
"156","unc","Yellow-billed Cuckoo","25m",137,0.0668461296175568,1e-04,391.5,394.5
"157","unc","Yellow-billed Cuckoo","25m",137,0.0668461296175568,1e-04,51,54
"158","unc","Yellow-billed Cuckoo","25m",144,0.0427830938926686,9e-04,18,21
"159","unc","Yellow-billed Cuckoo","25m",144,0.0427830938926686,9e-04,135,138
"160","unc","Yellow-billed Cuckoo","25m",172,0.0185319477506571,0.0016,61.5,64.5
"161","unc","Yellow-billed Cuckoo","25m",172,0.0185319477506571,0.0016,147,150
"162","unc","Yellow-billed Cuckoo","50m",144,0.0427830938926686,1e-04,391.5,394.5
"163","unc","Yellow-billed Cuckoo","50m",144,0.0427830938926686,1e-04,51,54
"164","unc","Yellow-billed Cuckoo","50m",172,0.0185319477506571,8e-04,45,48
